# Abridged record of ChatGPT's (prime_scale, arch_scale, calibrated_lambda_min) grid,
# full grid [0.94,1.06]^2 step 0.002 supplied inline in the reconciliation handoff.
# Key rows retained: the (1,1) point, the two axes near 1, and the diagonal.
prime_scale,arch_scale,calibrated_lambda_min
1.0,1.0,4.4376075137850086e-23
0.998,1.0,-0.0034074064836133343
1.002,1.0,-0.005276300934451469
1.0,0.998,-0.0017726829612121737
1.0,1.002,-0.005712451740275268
0.998,0.998,-0.0010537232915490177
1.002,1.002,-0.01072798420385365
0.996,0.996,-0.00216218728199449
1.004,1.004,-0.02161086746812772
0.99,0.99,-0.005689417637279017
1.01,1.01,-0.05477390180663933
0.98,0.98,-0.011933129248523178
1.02,1.02,-0.11102560064096019
0.96,0.96,-0.024922786223750902
1.04,1.04,-0.22512777688584165
0.94,0.94,-0.03814557668660763
1.06,1.06,-0.3401722065932763
0.94,1.0,-0.11157525623534047
1.0,0.94,-0.058267610786446725
0.94,1.06,-0.18713459531853574
1.06,0.94,-0.11825556880663313
1.06,1.06,-0.3401722065932763
