epsilon,lambda1,lambda2,lambda3
-0.002,-0.0024529889220696027,-0.001352723312945554,-0.000570153418807317
-0.001,-0.0012131453248509154,-0.0006686978924126317,-0.0002792578119429397
-0.0005,-0.0006019743153034698,-0.0003290220449201331,-0.00013728885117475983
-0.0002,-0.00023882105519553438,-0.0001283011180140071,-5.347989293652138e-05
-0.0001,-0.00011852925160293849,-6.30291971354394e-05,-2.5957549961448495e-05
0.0,4.4380910616830736e-23,2.227557760154767e-20,5.39375471857763e-18
0.0001,-0.00018619760899465256,-5.3076642682092045e-05,-5.251371190817746e-05
0.0002,-0.00038036799387449,-0.00011766339845741648,-0.00010917728676722705
0.0005,-0.0009799785103640707,-0.0003258789264771754,-0.0002957739062715545
0.001,-0.001996293766303937,-0.0006786038291573138,-0.0006573541572252301
0.002,-0.004044869809663923,-0.0014398260481247999,-0.001394345747780473
