n,max_abs_error_vs_logn_times_Un
2,7.771561172376096e-16
3,6.661338147750939e-16
4,6.661338147750939e-16
5,6.661338147750939e-16
6,4.440892098500626e-16
7,6.661338147750939e-16
8,4.440892098500626e-16
9,4.440892098500626e-16
10,8.881784197001252e-16
11,8.881784197001252e-16
12,4.440892098500626e-16
13,4.440892098500626e-16
14,4.440892098500626e-16
15,4.440892098500626e-16
16,1.3322676295501878e-15
17,8.881784197001252e-16
18,8.881784197001252e-16
19,8.881784197001252e-16
20,1.3322676295501878e-15
21,4.440892098500626e-16
22,8.881784197001252e-16
23,8.881784197001252e-16
24,1.3322676295501878e-15
25,1.3322676295501878e-15
26,1.3322676295501878e-15
27,8.881784197001252e-16
28,1.3322676295501878e-15
29,1.3322676295501878e-15
30,1.3322676295501878e-15
