n,h_n_est_r40,log_n,abs_diff
2,0.6931471805599225,0.6931471805599453,2.275957200481571e-14
3,1.0986122886681096,1.0986122886681098,2.220446049250313e-16
4,1.3862943611198906,1.3862943611198906,0.0
5,1.6094379124341003,1.6094379124341003,0.0
6,1.791759469228055,1.791759469228055,0.0
7,1.9459101490553135,1.9459101490553132,2.220446049250313e-16
8,2.0794415416798357,2.0794415416798357,0.0
9,2.197224577336219,2.1972245773362196,4.440892098500626e-16
10,2.302585092994046,2.302585092994046,0.0
11,2.3978952727983707,2.3978952727983707,0.0
12,2.4849066497880004,2.4849066497880004,0.0
13,2.5649493574615367,2.5649493574615367,0.0
14,2.6390573296152584,2.6390573296152584,0.0
15,2.70805020110221,2.70805020110221,0.0
16,2.772588722239781,2.772588722239781,0.0
17,2.833213344056216,2.833213344056216,0.0
18,2.8903717578961645,2.8903717578961645,0.0
19,2.9444389791664407,2.9444389791664403,4.440892098500626e-16
20,2.9957322735539913,2.995732273553991,4.440892098500626e-16
