blind_E,independent_zeta_zero,abs_diff
14.1347251417347,14.1347251417347,2.77e-17
21.0220396387716,21.0220396387716,9.2e-18
25.0108575801457,25.0108575801457,1.76e-17
30.4248761258595,30.4248761258595,7.56e-18
32.9350615877392,32.9350615877392,1.21e-17
37.5861781588257,37.5861781588257,3.85e-17
40.9187190121475,40.9187190121475,3.05e-17
43.327073280915,43.327073280915,3.84e-18
48.0051508811672,48.0051508811672,1.97e-17
49.7738324776723,49.7738324776723,2.04e-17
52.9703214777145,52.9703214777145,2.89e-17
56.4462476970634,56.4462476970634,2.96e-17
59.3470440026024,59.3470440026024,1.45e-17
