N,rank,eigenvalue
16,1,1.6089099014739689988e-14
16,2,4.9724611962466293138e-12
16,3,1.5999793966026849204e-10
16,4,1.8541714594791026924e-9
16,5,2.1554707384121091947e-8
16,6,1.6079966991778772651e-6
16,7,0.00016334201446462351274
16,8,0.00060848574200782900215
24,1,7.5797582453484234251e-19
24,2,7.0300673267408020308e-18
24,3,1.2145954084334671651e-15
24,4,1.9764747165310541379e-15
24,5,3.216464868863831481e-13
24,6,1.5949991404502054447e-11
24,7,3.1487350968788354153e-9
24,8,8.293568309873006594e-8
28,1,8.0022867194044479868e-23
28,2,1.8979175021324807255e-21
28,3,8.2006580775530231261e-19
28,4,1.5499222545773489227e-16
28,5,5.3329095081898485399e-14
28,6,7.2692939214511544298e-13
28,7,5.5215176697650493255e-11
28,8,1.6317108551243329696e-9
32,1,-2.5986530721613924896e-9
32,2,5.1527709826929101562e-24
32,3,1.0992258140570303089e-21
32,4,4.9988965494503390604e-19
32,5,4.4884465663204438134e-17
32,6,7.2668288869213384264e-15
32,7,6.9741009827765704481e-14
32,8,1.1982412647837898023e-11
