architecture,horizon,run,success,errors_introduced,errors_detected,errors_recovered,escaped_errors,agent_calls
single,10,0,1,0,0,0,0,10
reflection,10,0,1,0,2,2,0,12
static_team,10,0,1,0,0,0,0,20
corpus_mesh,10,0,1,0,0,0,0,30
single,10,1,1,0,0,0,0,10
reflection,10,1,1,0,4,4,0,14
static_team,10,1,1,0,0,0,0,20
corpus_mesh,10,1,1,0,0,0,0,30
single,10,2,1,0,0,0,0,10
reflection,10,2,1,0,3,3,0,13
static_team,10,2,1,0,0,0,0,20
corpus_mesh,10,2,1,0,0,0,0,30
single,10,3,1,0,0,0,0,10
reflection,10,3,1,0,6,6,0,16
static_team,10,3,1,0,0,0,0,21
corpus_mesh,10,3,1,0,0,0,0,32
single,10,4,1,0,0,0,0,10
reflection,10,4,1,0,4,4,0,14
static_team,10,4,1,0,0,0,0,20
corpus_mesh,10,4,1,0,0,0,0,30
single,10,5,1,0,0,0,0,10
reflection,10,5,1,0,3,3,0,13
static_team,10,5,1,1,1,1,0,21
corpus_mesh,10,5,1,0,0,0,0,30
single,10,6,1,0,0,0,0,10
reflection,10,6,1,0,4,4,0,14
static_team,10,6,1,0,0,0,0,20
corpus_mesh,10,6,1,0,0,0,0,30
single,10,7,1,0,0,0,0,10
reflection,10,7,1,0,4,4,0,14
static_team,10,7,1,0,0,0,0,21
corpus_mesh,10,7,1,0,0,0,0,30
single,10,8,1,0,0,0,0,10
reflection,10,8,1,0,5,5,0,15
static_team,10,8,1,0,0,0,0,20
corpus_mesh,10,8,1,0,0,0,0,30
single,10,9,1,0,0,0,0,10
reflection,10,9,1,0,4,4,0,14
static_team,10,9,1,0,0,0,0,20
corpus_mesh,10,9,1,0,0,0,0,32
single,10,10,1,0,0,0,0,10
reflection,10,10,1,0,2,2,0,12
static_team,10,10,1,0,0,0,0,20
corpus_mesh,10,10,1,0,0,0,0,30
single,10,11,1,0,0,0,0,10
reflection,10,11,1,0,2,2,0,12
static_team,10,11,1,0,0,0,0,20
corpus_mesh,10,11,1,0,0,0,0,30
single,10,12,1,0,0,0,0,10
reflection,10,12,1,0,2,2,0,12
static_team,10,12,1,0,0,0,0,20
corpus_mesh,10,12,1,0,0,0,0,30
single,10,13,1,0,0,0,0,10
reflection,10,13,1,0,2,2,0,12
static_team,10,13,1,0,0,0,0,20
corpus_mesh,10,13,1,0,0,0,0,30
single,10,14,1,0,0,0,0,10
reflection,10,14,1,0,2,2,0,12
static_team,10,14,1,0,0,0,0,20
corpus_mesh,10,14,1,0,0,0,0,30
single,10,15,1,0,0,0,0,10
reflection,10,15,1,0,2,2,0,12
static_team,10,15,1,0,0,0,0,20
corpus_mesh,10,15,1,0,0,0,0,30
single,10,16,0,1,0,0,1,10
reflection,10,16,1,0,3,3,0,13
static_team,10,16,1,0,0,0,0,20
corpus_mesh,10,16,1,0,0,0,0,30
single,10,17,1,0,0,0,0,10
reflection,10,17,1,0,4,4,0,14
static_team,10,17,1,0,0,0,0,20
corpus_mesh,10,17,1,0,0,0,0,30
single,10,18,1,0,0,0,0,10
reflection,10,18,1,0,4,4,0,14
static_team,10,18,1,1,1,1,0,21
corpus_mesh,10,18,1,0,0,0,0,32
single,10,19,1,0,0,0,0,10
reflection,10,19,0,0,5,4,1,15
static_team,10,19,1,0,0,0,0,20
corpus_mesh,10,19,1,0,0,0,0,30
single,10,20,1,0,0,0,0,10
reflection,10,20,0,1,3,3,1,13
static_team,10,20,1,0,0,0,0,20
corpus_mesh,10,20,1,0,0,0,0,30
single,10,21,1,0,0,0,0,10
reflection,10,21,1,0,4,4,0,14
static_team,10,21,1,0,0,0,0,20
corpus_mesh,10,21,1,0,0,0,0,30
single,10,22,1,0,0,0,0,10
reflection,10,22,1,0,5,5,0,15
static_team,10,22,1,0,0,0,0,20
corpus_mesh,10,22,1,0,0,0,0,32
single,10,23,1,0,0,0,0,10
reflection,10,23,1,0,3,3,0,13
static_team,10,23,1,0,0,0,0,20
corpus_mesh,10,23,1,0,0,0,0,32
single,10,24,1,0,0,0,0,10
reflection,10,24,1,0,4,4,0,14
static_team,10,24,1,0,0,0,0,20
corpus_mesh,10,24,1,0,0,0,0,30
single,10,25,1,0,0,0,0,10
reflection,10,25,1,0,3,3,0,13
static_team,10,25,1,0,0,0,0,20
corpus_mesh,10,25,1,0,0,0,0,30
single,10,26,1,0,0,0,0,10
reflection,10,26,1,0,2,2,0,12
static_team,10,26,1,0,0,0,0,20
corpus_mesh,10,26,1,0,0,0,0,30
single,10,27,1,0,0,0,0,10
reflection,10,27,1,0,1,1,0,11
static_team,10,27,1,1,1,1,0,21
corpus_mesh,10,27,1,1,1,1,0,32
single,10,28,1,0,0,0,0,10
reflection,10,28,1,0,3,3,0,13
static_team,10,28,1,0,0,0,0,20
corpus_mesh,10,28,1,1,1,1,0,34
single,10,29,1,0,0,0,0,10
reflection,10,29,1,0,4,4,0,14
static_team,10,29,0,0,0,0,1,22
corpus_mesh,10,29,1,0,0,0,0,30
single,10,30,1,0,0,0,0,10
reflection,10,30,1,0,4,4,0,14
static_team,10,30,1,1,1,1,0,21
corpus_mesh,10,30,1,0,0,0,0,30
single,10,31,1,0,0,0,0,10
reflection,10,31,0,1,4,4,1,14
static_team,10,31,1,1,1,1,0,21
corpus_mesh,10,31,1,1,1,1,0,32
single,10,32,0,1,0,0,1,10
reflection,10,32,1,0,1,1,0,11
static_team,10,32,1,0,0,0,0,20
corpus_mesh,10,32,1,0,0,0,0,30
single,10,33,1,0,0,0,0,10
reflection,10,33,1,0,4,4,0,14
static_team,10,33,1,0,0,0,0,20
corpus_mesh,10,33,1,0,0,0,0,30
single,10,34,1,0,0,0,0,10
reflection,10,34,1,1,2,2,0,12
static_team,10,34,1,0,0,0,0,20
corpus_mesh,10,34,1,0,0,0,0,32
single,10,35,1,0,0,0,0,10
reflection,10,35,1,0,6,6,0,16
static_team,10,35,1,0,0,0,0,20
corpus_mesh,10,35,1,0,0,0,0,30
single,10,36,0,1,0,0,1,10
reflection,10,36,1,0,4,4,0,14
static_team,10,36,1,0,0,0,0,20
corpus_mesh,10,36,1,0,0,0,0,30
single,10,37,1,0,0,0,0,10
reflection,10,37,1,0,0,0,0,10
static_team,10,37,1,0,0,0,0,20
corpus_mesh,10,37,1,0,0,0,0,30
single,10,38,1,0,0,0,0,10
reflection,10,38,1,0,4,4,0,14
static_team,10,38,1,0,0,0,0,20
corpus_mesh,10,38,1,0,0,0,0,30
single,10,39,1,0,0,0,0,10
reflection,10,39,1,0,1,1,0,11
static_team,10,39,1,0,0,0,0,21
corpus_mesh,10,39,1,1,1,1,0,32
single,10,40,1,0,0,0,0,10
reflection,10,40,1,0,6,6,0,16
static_team,10,40,1,1,1,1,0,21
corpus_mesh,10,40,1,0,0,0,0,30
single,10,41,0,1,0,0,1,10
reflection,10,41,0,0,2,1,1,12
static_team,10,41,1,1,1,1,0,21
corpus_mesh,10,41,1,0,0,0,0,30
single,10,42,1,0,0,0,0,10
reflection,10,42,1,0,2,2,0,12
static_team,10,42,1,0,0,0,0,20
corpus_mesh,10,42,1,0,0,0,0,30
single,10,43,0,1,0,0,1,10
reflection,10,43,1,0,4,4,0,14
static_team,10,43,1,1,1,1,0,21
corpus_mesh,10,43,1,0,0,0,0,30
single,10,44,0,1,0,0,1,10
reflection,10,44,1,0,3,3,0,13
static_team,10,44,1,0,0,0,0,20
corpus_mesh,10,44,1,0,0,0,0,30
single,10,45,1,0,0,0,0,10
reflection,10,45,1,0,4,4,0,14
static_team,10,45,1,0,0,0,0,20
corpus_mesh,10,45,1,0,0,0,0,30
single,10,46,1,0,0,0,0,10
reflection,10,46,1,0,3,3,0,13
static_team,10,46,1,0,0,0,0,21
corpus_mesh,10,46,1,0,0,0,0,30
single,10,47,1,0,0,0,0,10
reflection,10,47,1,0,2,2,0,12
static_team,10,47,1,0,0,0,0,20
corpus_mesh,10,47,1,0,0,0,0,30
single,10,48,1,0,0,0,0,10
reflection,10,48,1,0,2,2,0,12
static_team,10,48,1,1,1,1,0,21
corpus_mesh,10,48,1,0,0,0,0,30
single,10,49,0,1,0,0,1,10
reflection,10,49,1,0,2,2,0,12
static_team,10,49,1,0,0,0,0,20
corpus_mesh,10,49,1,0,0,0,0,30
single,10,50,1,0,0,0,0,10
reflection,10,50,0,0,4,3,1,14
static_team,10,50,1,0,0,0,0,20
corpus_mesh,10,50,1,0,0,0,0,30
single,10,51,1,0,0,0,0,10
reflection,10,51,1,0,0,0,0,10
static_team,10,51,1,0,0,0,0,20
corpus_mesh,10,51,1,0,0,0,0,32
single,10,52,1,0,0,0,0,10
reflection,10,52,1,0,4,4,0,14
static_team,10,52,1,0,0,0,0,20
corpus_mesh,10,52,1,0,0,0,0,30
single,10,53,0,1,0,0,1,10
reflection,10,53,1,0,2,2,0,12
static_team,10,53,1,0,0,0,0,20
corpus_mesh,10,53,1,0,0,0,0,32
single,10,54,1,0,0,0,0,10
reflection,10,54,1,0,3,3,0,13
static_team,10,54,1,0,0,0,0,20
corpus_mesh,10,54,1,0,0,0,0,30
single,10,55,1,0,0,0,0,10
reflection,10,55,1,1,2,2,0,12
static_team,10,55,1,0,0,0,0,20
corpus_mesh,10,55,1,0,0,0,0,30
single,10,56,1,0,0,0,0,10
reflection,10,56,1,0,2,2,0,12
static_team,10,56,1,0,0,0,0,20
corpus_mesh,10,56,1,0,0,0,0,30
single,10,57,0,1,0,0,1,10
reflection,10,57,1,0,2,2,0,12
static_team,10,57,1,0,0,0,0,20
corpus_mesh,10,57,1,0,0,0,0,30
single,10,58,1,0,0,0,0,10
reflection,10,58,1,0,4,4,0,14
static_team,10,58,1,0,0,0,0,20
corpus_mesh,10,58,1,0,0,0,0,30
single,10,59,1,0,0,0,0,10
reflection,10,59,1,0,1,1,0,11
static_team,10,59,1,0,0,0,0,20
corpus_mesh,10,59,1,0,0,0,0,30
single,10,60,0,1,0,0,1,10
reflection,10,60,1,0,3,3,0,13
static_team,10,60,1,0,0,0,0,20
corpus_mesh,10,60,1,0,0,0,0,30
single,10,61,1,0,0,0,0,10
reflection,10,61,1,0,3,3,0,13
static_team,10,61,1,0,0,0,0,20
corpus_mesh,10,61,1,0,0,0,0,30
single,10,62,1,0,0,0,0,10
reflection,10,62,1,0,3,3,0,13
static_team,10,62,1,0,0,0,0,20
corpus_mesh,10,62,1,1,1,1,0,32
single,10,63,1,0,0,0,0,10
reflection,10,63,1,0,1,1,0,11
static_team,10,63,1,0,0,0,0,20
corpus_mesh,10,63,1,0,0,0,0,30
single,10,64,1,0,0,0,0,10
reflection,10,64,1,0,3,3,0,13
static_team,10,64,1,0,0,0,0,20
corpus_mesh,10,64,1,1,1,1,0,32
single,10,65,1,0,0,0,0,10
reflection,10,65,1,0,2,2,0,12
static_team,10,65,1,0,0,0,0,20
corpus_mesh,10,65,1,1,1,1,0,32
single,10,66,1,0,0,0,0,10
reflection,10,66,1,0,1,1,0,11
static_team,10,66,1,0,0,0,0,20
corpus_mesh,10,66,1,0,0,0,0,30
single,10,67,1,0,0,0,0,10
reflection,10,67,1,0,6,6,0,16
static_team,10,67,1,0,0,0,0,20
corpus_mesh,10,67,1,0,0,0,0,32
single,10,68,1,0,0,0,0,10
reflection,10,68,1,1,2,2,0,12
static_team,10,68,1,0,0,0,0,20
corpus_mesh,10,68,1,0,0,0,0,30
single,10,69,1,0,0,0,0,10
reflection,10,69,1,0,4,4,0,14
static_team,10,69,1,0,0,0,0,20
corpus_mesh,10,69,1,0,0,0,0,30
single,10,70,1,0,0,0,0,10
reflection,10,70,1,0,2,2,0,12
static_team,10,70,1,0,0,0,0,20
corpus_mesh,10,70,1,0,0,0,0,30
single,10,71,1,0,0,0,0,10
reflection,10,71,1,0,3,3,0,13
static_team,10,71,1,0,0,0,0,20
corpus_mesh,10,71,1,0,0,0,0,30
single,10,72,1,0,0,0,0,10
reflection,10,72,1,0,2,2,0,12
static_team,10,72,1,0,0,0,0,20
corpus_mesh,10,72,1,1,1,1,0,32
single,10,73,0,1,0,0,1,10
reflection,10,73,1,0,3,3,0,13
static_team,10,73,1,0,0,0,0,20
corpus_mesh,10,73,1,0,0,0,0,30
single,10,74,1,0,0,0,0,10
reflection,10,74,1,0,5,5,0,15
static_team,10,74,1,0,0,0,0,20
corpus_mesh,10,74,1,0,0,0,0,30
single,10,75,1,0,0,0,0,10
reflection,10,75,1,0,6,6,0,16
static_team,10,75,1,0,0,0,0,20
corpus_mesh,10,75,1,0,0,0,0,30
single,10,76,1,0,0,0,0,10
reflection,10,76,1,0,3,3,0,13
static_team,10,76,1,0,0,0,0,21
corpus_mesh,10,76,1,0,0,0,0,30
single,10,77,1,0,0,0,0,10
reflection,10,77,0,1,2,2,1,12
static_team,10,77,1,1,1,1,0,21
corpus_mesh,10,77,1,0,0,0,0,30
single,10,78,1,0,0,0,0,10
reflection,10,78,1,0,4,4,0,14
static_team,10,78,1,1,1,1,0,21
corpus_mesh,10,78,1,1,1,1,0,34
single,10,79,1,0,0,0,0,10
reflection,10,79,1,0,2,2,0,12
static_team,10,79,1,0,0,0,0,20
corpus_mesh,10,79,1,0,0,0,0,30
single,10,80,1,0,0,0,0,10
reflection,10,80,0,1,6,6,1,16
static_team,10,80,1,0,0,0,0,20
corpus_mesh,10,80,1,0,0,0,0,30
single,10,81,1,0,0,0,0,10
reflection,10,81,0,1,0,0,1,10
static_team,10,81,1,1,1,1,0,21
corpus_mesh,10,81,1,0,0,0,0,30
single,10,82,1,0,0,0,0,10
reflection,10,82,1,0,3,3,0,13
static_team,10,82,1,0,0,0,0,20
corpus_mesh,10,82,1,0,0,0,0,32
single,10,83,0,1,0,0,1,10
reflection,10,83,1,0,2,2,0,12
static_team,10,83,1,0,0,0,0,20
corpus_mesh,10,83,1,0,0,0,0,30
single,10,84,1,0,0,0,0,10
reflection,10,84,1,0,1,1,0,11
static_team,10,84,1,0,0,0,0,20
corpus_mesh,10,84,1,0,0,0,0,30
single,10,85,1,0,0,0,0,10
reflection,10,85,1,0,3,3,0,13
static_team,10,85,1,0,0,0,0,20
corpus_mesh,10,85,1,1,1,1,0,32
single,10,86,1,0,0,0,0,10
reflection,10,86,1,0,1,1,0,11
static_team,10,86,1,0,0,0,0,20
corpus_mesh,10,86,1,0,0,0,0,30
single,10,87,1,0,0,0,0,10
reflection,10,87,1,0,0,0,0,10
static_team,10,87,1,0,0,0,0,20
corpus_mesh,10,87,1,0,0,0,0,30
single,10,88,1,0,0,0,0,10
reflection,10,88,1,0,1,1,0,11
static_team,10,88,1,0,0,0,0,20
corpus_mesh,10,88,1,2,2,2,0,34
single,10,89,1,0,0,0,0,10
reflection,10,89,1,0,1,1,0,11
static_team,10,89,1,1,1,1,0,21
corpus_mesh,10,89,1,0,0,0,0,30
single,10,90,1,0,0,0,0,10
reflection,10,90,0,1,4,4,1,14
static_team,10,90,1,0,0,0,0,20
corpus_mesh,10,90,1,0,0,0,0,30
single,10,91,1,0,0,0,0,10
reflection,10,91,0,1,2,2,1,12
static_team,10,91,1,0,0,0,0,20
corpus_mesh,10,91,1,0,0,0,0,30
single,10,92,1,0,0,0,0,10
reflection,10,92,1,0,3,3,0,13
static_team,10,92,1,0,0,0,0,21
corpus_mesh,10,92,1,0,0,0,0,30
single,10,93,1,0,0,0,0,10
reflection,10,93,0,1,3,3,1,13
static_team,10,93,1,0,0,0,0,20
corpus_mesh,10,93,1,0,0,0,0,30
single,10,94,1,0,0,0,0,10
reflection,10,94,1,0,4,4,0,14
static_team,10,94,1,0,0,0,0,20
corpus_mesh,10,94,1,1,1,1,0,32
single,10,95,0,1,0,0,1,10
reflection,10,95,1,0,3,3,0,13
static_team,10,95,1,0,0,0,0,20
corpus_mesh,10,95,1,0,0,0,0,30
single,10,96,1,0,0,0,0,10
reflection,10,96,1,0,2,2,0,12
static_team,10,96,1,0,0,0,0,20
corpus_mesh,10,96,1,0,0,0,0,30
single,10,97,1,0,0,0,0,10
reflection,10,97,1,0,3,3,0,13
static_team,10,97,1,0,0,0,0,20
corpus_mesh,10,97,1,0,0,0,0,30
single,10,98,1,0,0,0,0,10
reflection,10,98,0,0,5,4,1,15
static_team,10,98,1,0,0,0,0,20
corpus_mesh,10,98,1,1,1,1,0,32
single,10,99,1,0,0,0,0,10
reflection,10,99,0,1,4,4,1,14
static_team,10,99,1,0,0,0,0,20
corpus_mesh,10,99,1,0,0,0,0,30
single,10,100,1,0,0,0,0,10
reflection,10,100,1,0,4,4,0,14
static_team,10,100,1,0,0,0,0,20
corpus_mesh,10,100,1,0,0,0,0,32
single,10,101,1,0,0,0,0,10
reflection,10,101,1,0,5,5,0,15
static_team,10,101,1,0,0,0,0,20
corpus_mesh,10,101,1,0,0,0,0,30
single,10,102,1,0,0,0,0,10
