architecture,horizon,runs,success_rate,avg_errors_introduced,avg_errors_detected,avg_errors_recovered,avg_escaped_errors,avg_agent_calls
corpus_mesh,10,500,0.994,0.17,0.17,0.17,0.006,30.576
corpus_mesh,25,500,0.988,0.35,0.35,0.344,0.012,76.324
corpus_mesh,50,500,0.97,0.77,0.77,0.754,0.03,153.116
corpus_mesh,100,500,0.954,1.474,1.474,1.44,0.05,305.948
corpus_mesh,250,500,0.916,3.582,3.582,3.526,0.088,764.504
reflection,10,500,0.852,0.16,2.81,2.764,0.148,12.81
reflection,25,500,0.71,0.394,7.054,6.954,0.29,32.054
reflection,50,500,0.508,0.802,13.976,13.758,0.492,63.976
reflection,100,500,0.294,1.436,27.692,27.248,0.706,127.692
reflection,250,500,0.048,3.716,69.86,68.818,0.952,319.86
single,10,500,0.85,0.16,0,0,0.15,10
single,25,500,0.702,0.366,0,0,0.298,25
single,50,500,0.458,0.768,0,0,0.542,50
single,100,500,0.236,1.526,0,0,0.764,100
single,250,500,0.03,3.726,0,0,0.97,250
static_team,10,500,0.994,0.168,0.168,0.166,0.006,20.232
static_team,25,500,0.994,0.368,0.368,0.364,0.006,50.478
static_team,50,500,0.98,0.794,0.79,0.776,0.024,101.066
static_team,100,500,0.972,1.46,1.46,1.44,0.028,201.982
static_team,250,500,0.92,3.624,3.614,3.548,0.086,504.82
