run_key,architecture,horizon,run_idx,chain_seed,success,errors_introduced,errors_detected,errors_recovered,escaped_errors,parse_failures,model_calls,input_tokens,output_tokens,cache_read_tokens,cost_usd,wall_seconds,challenges,recovery_calls,recovery_seconds,mean_recovery_latency_s,injected_faults,faults_detected,faults_contained,faults_repaired,infra_retries
single-h12-r1,single,12,1,30272905,0,3,0,0,3,0,12,5989,1581,0,0.026313,65.3,0,0,0.0,0.0,3,0,0,0,0
single-h12-r0,single,12,0,30272904,0,5,0,0,5,0,12,5970,1891,0,0.027855,65.31,0,0,0.0,0.0,3,0,0,0,0
reflection-h12-r0,reflection,12,0,30272904,1,3,3,3,0,0,24,12624,4012,0,0.058173,127.38,3,0,0.0,0.0,3,3,3,3,0
static_team-h12-r0,static_team,12,0,30272904,1,3,3,3,0,0,27,13544,3896,0,0.061054,144.16,3,3,7.25,2.42,3,3,3,3,0
corpus_mesh-h12-r0,corpus_mesh,12,0,30272904,1,3,3,3,0,0,31,15534,4835,0,0.071856,161.73,3,6,15.91,5.3,3,3,3,3,0
reflection-h12-r1,reflection,12,1,30272905,1,4,4,4,0,0,24,12652,3719,0,0.056759,130.56,4,0,0.0,0.0,3,3,3,3,0
single-h12-r2,single,12,2,30272906,0,4,0,0,4,0,12,5916,2470,0,0.030637,65.41,0,0,0.0,0.0,3,0,0,0,0
static_team-h12-r1,static_team,12,1,30272905,0,4,4,3,1,0,28,14098,4636,0,0.066382,148.55,4,4,12.35,3.09,3,3,3,3,0
single-h12-r3,single,12,3,30272907,0,5,0,0,5,0,12,5916,2543,0,0.030962,66.28,0,0,0.0,0.0,3,0,0,0,0
corpus_mesh-h12-r1,corpus_mesh,12,1,30272905,0,4,4,3,1,0,32,16082,5116,0,0.074918,161.85,4,8,21.85,5.46,3,3,3,3,0
reflection-h12-r2,reflection,12,2,30272906,0,5,4,4,2,0,24,12517,5778,0,0.066784,134.1,5,0,0.0,0.0,3,3,3,3,0
static_team-h12-r2,static_team,12,2,30272906,1,4,4,4,0,0,29,14457,7209,0,0.0805,164.01,5,5,17.8,3.56,3,3,3,3,0
corpus_mesh-h12-r2,corpus_mesh,12,2,30272906,0,5,4,4,1,0,32,15902,7359,0,0.085823,176.47,4,8,26.17,6.54,3,3,3,3,0
reflection-h12-r3,reflection,12,3,30272907,0,5,5,4,3,0,24,12516,5770,0,0.066742,135.24,7,0,0.0,0.0,3,3,3,3,0
single-h12-r4,single,12,4,30272908,0,5,0,0,5,0,12,5916,2516,0,0.030822,64.55,0,0,0.0,0.0,3,0,0,0,0
static_team-h12-r3,static_team,12,3,30272907,0,5,5,3,2,0,29,14455,7215,0,0.080496,163.15,5,5,17.84,3.57,3,3,3,2,0
corpus_mesh-h12-r3,corpus_mesh,12,3,30272907,0,5,4,2,3,0,32,15896,7097,0,0.084406,177.09,4,8,25.09,6.27,3,3,3,2,0
single-h12-r5,single,12,5,30272909,0,5,0,0,5,0,12,5960,2203,0,0.02938,63.09,0,0,0.0,0.0,3,0,0,0,0
reflection-h12-r4,reflection,12,4,30272908,0,3,3,2,2,0,24,12514,5733,0,0.066573,136.01,4,0,0.0,0.0,3,3,3,2,0
static_team-h12-r4,static_team,12,4,30272908,0,3,3,2,1,0,27,13414,6026,0,0.071439,155.47,3,3,11.58,3.86,3,3,3,2,0
reflection-h12-r5,reflection,12,5,30272909,0,5,4,4,2,0,24,12600,4489,0,0.06054,126.59,5,0,0.0,0.0,3,3,3,3,0
corpus_mesh-h12-r4,corpus_mesh,12,4,30272908,1,4,4,4,0,0,33,16385,8028,0,0.090572,185.73,4,8,30.27,7.57,3,3,3,3,0
single-h12-r6,single,12,6,30272910,0,3,0,0,3,0,12,5975,1777,0,0.027305,62.5,0,0,0.0,0.0,3,0,0,0,0
static_team-h12-r5,static_team,12,5,30272909,0,5,4,3,2,0,28,14029,5366,0,0.069919,151.65,4,4,13.32,3.33,3,3,3,3,0
corpus_mesh-h12-r5,corpus_mesh,12,5,30272909,1,3,3,3,0,0,31,15500,5763,0,0.076448,169.7,3,6,18.99,6.33,3,3,3,3,0
reflection-h12-r6,reflection,12,6,30272910,0,3,3,3,1,0,24,12634,4042,0,0.058388,124.22,4,0,0.0,0.0,3,3,3,3,0
single-h12-r7,single,12,7,30272911,0,5,0,0,5,0,12,5941,2145,0,0.029032,62.33,0,0,0.0,0.0,3,0,0,0,0
static_team-h12-r6,static_team,12,6,30272910,1,3,3,3,0,0,27,13547,4646,0,0.064855,148.06,3,3,11.24,3.75,3,3,3,3,0
corpus_mesh-h12-r6,corpus_mesh,12,6,30272910,1,3,3,3,0,0,32,16040,5471,0,0.076659,166.34,4,8,24.28,6.07,3,3,3,3,0
reflection-h12-r7,reflection,12,7,30272911,1,4,4,4,0,0,24,12562,4852,0,0.062289,128.73,4,0,0.0,0.0,3,3,3,3,0
static_team-h12-r7,static_team,12,7,30272911,0,4,4,3,1,0,28,13990,5685,0,0.071431,138.76,4,4,13.93,3.48,3,3,3,3,0
corpus_mesh-h12-r7,corpus_mesh,12,7,30272911,1,4,4,4,0,0,32,15960,6345,0,0.080834,154.32,4,8,27.77,6.94,3,3,3,3,0
