architecture,horizon,runs,success_rate,success_ci_low,success_ci_high,step_escape_rate,step_escape_ci_low,step_escape_ci_high,avg_errors_introduced,avg_errors_detected,avg_errors_recovered,avg_escaped_errors,avg_model_calls,avg_input_tokens,avg_output_tokens,avg_cost_usd,avg_wall_seconds,avg_recovery_latency_s,cost_per_success_usd
corpus_mesh,5,8,1.0,0.6756,1.0,0.0,0.0,0.08762,0.25,0.25,0.25,0,11,5468.4,2100,0.02733,59.2,7.32,0.02733
corpus_mesh,10,8,0.625,0.3057,0.8632,0.0375,0.01283,0.10455,1.125,1,0.75,0.375,23.62,11756.6,4647.8,0.05943,127.2,7.71,0.09508
corpus_mesh,20,8,0.375,0.1368,0.6943,0.05,0.02555,0.09555,1.875,1.5,0.875,1,47.12,23443.8,9612,0.12028,255.6,7.92,0.32075
corpus_mesh,50,8,0.0,0.0,0.3244,0.045,0.02865,0.07001,5.25,4.875,3.5,2.25,119.75,59543.1,25461,0.31072,645.0,7.6,
reflection,5,8,1.0,0.6756,1.0,0.0,0.0,0.08762,0.375,0.375,0.375,0,10,5245.2,1879.9,0.02525,53.9,0.0,0.02525
reflection,10,8,0.25,0.0715,0.5907,0.0875,0.04303,0.16977,0.875,0.75,0.5,0.875,20,10492.9,3964,0.05154,107.4,0.0,0.20617
reflection,20,8,0.25,0.0715,0.5907,0.075,0.04342,0.12651,2.125,1.375,0.875,1.5,40,20976.9,7905.8,0.10299,216.2,0.0,0.41196
reflection,50,8,0.0,0.0,0.3244,0.1025,0.07646,0.1361,5.75,4.625,2.875,5.125,100,52388.9,20693.5,0.26206,542.8,0.0,
single,5,8,0.75,0.4093,0.9285,0.05,0.01382,0.16504,0.25,0,0,0.25,5,2480.2,876.4,0.01203,27.1,0.0,0.01604
single,10,8,0.25,0.0715,0.5907,0.125,0.06933,0.21503,1.25,0,0,1.25,10,4961.9,1756.9,0.02408,52.0,0.0,0.09632
single,20,8,0.125,0.0224,0.4709,0.1375,0.09259,0.19941,2.75,0,0,2.75,20,9920.4,3492.6,0.04807,104.3,0.0,0.38454
single,50,8,0.0,0.0,0.3244,0.105,0.07862,0.13889,5.25,0,0,5.25,50,24771.1,9011.1,0.12149,263.3,0.0,
static_team,5,8,0.875,0.5291,0.9776,0.025,0.00443,0.12882,0.375,0.25,0.25,0.125,10.25,5099.8,1811.4,0.02475,54.1,3.59,0.02829
static_team,10,8,0.625,0.3057,0.8632,0.0375,0.01283,0.10455,1.25,1.125,0.875,0.375,21.25,10591.2,4225.9,0.05371,113.8,4.13,0.08594
static_team,20,8,0.375,0.1368,0.6943,0.05,0.02555,0.09555,2.125,2.125,1.25,1,42.62,21242.9,8413.6,0.10742,229.3,4.0,0.28645
static_team,50,8,0.125,0.0224,0.4709,0.06,0.04065,0.08772,5.625,5,3,3,106.38,52950.9,22003.2,0.273,571.7,4.11,2.18399
