run_key,architecture,horizon,run_idx,chain_seed,success,errors_introduced,errors_detected,errors_recovered,escaped_errors,parse_failures,model_calls,input_tokens,output_tokens,cache_read_tokens,cost_usd,wall_seconds,challenges,recovery_calls,recovery_seconds,mean_recovery_latency_s,injected_faults,faults_detected,faults_contained,faults_repaired,infra_retries
single-h4-r0,single,4,0,20264904,1,0,0,0,0,0,4,1983,801,0,0.010126,25.74,0,0,0.0,0.0,0,0,0,0,0
single-h4-r1,single,4,1,20264905,1,0,0,0,0,0,4,1978,672,0,0.009476,27.16,0,0,0.0,0.0,0,0,0,0,0
corpus_mesh-h4-r0,corpus_mesh,4,0,20264904,1,0,0,0,0,0,8,3974,1588,0,0.020155,48.61,0,0,0.0,0.0,0,0,0,0,0
static_team-h4-r0,static_team,4,0,20264904,1,0,0,0,0,0,8,3978,1692,0,0.020674,50.61,0,0,0.0,0.0,0,0,0,0,0
reflection-h4-r1,reflection,4,1,20264905,1,0,0,0,0,0,8,4184,1514,0,0.020228,51.95,0,0,0.0,0.0,0,0,0,0,0
reflection-h4-r0,reflection,4,0,20264904,1,1,1,1,0,0,8,4193,1752,0,0.021446,54.27,1,0,0.0,0.0,0,0,0,0,0
static_team-h4-r1,static_team,4,1,20264905,1,0,0,0,0,0,8,3968,1368,0,0.019049,47.92,0,0,0.0,0.0,0,0,0,0,0
corpus_mesh-h4-r1,corpus_mesh,4,1,20264905,1,0,0,0,0,0,8,3964,1385,0,0.019125,47.71,0,0,0.0,0.0,0,0,0,0,0
single-h8-r0,single,8,0,20268904,1,0,0,0,0,0,8,3973,1232,0,0.018401,47.74,0,0,0.0,0.0,0,0,0,0,0
single-h8-r1,single,8,1,20268905,0,1,0,0,1,0,8,3989,1069,0,0.017623,45.92,0,0,0.0,0.0,0,0,0,0,0
static_team-h8-r0,static_team,8,0,20268904,1,0,0,0,0,0,16,7970,2737,0,0.038211,97.17,0,0,0.0,0.0,0,0,0,0,0
reflection-h8-r0,reflection,8,0,20268904,1,0,0,0,0,0,16,8402,2884,0,0.039804,100.4,0,0,0.0,0.0,0,0,0,0,0
corpus_mesh-h8-r0,corpus_mesh,8,0,20268904,1,1,1,1,0,0,18,8973,3311,0,0.044128,107.32,1,2,7.9,7.9,0,0,0,0,0
reflection-h8-r1,reflection,8,1,20268905,0,1,1,0,1,0,16,8433,2780,0,0.039391,93.08,1,0,0.0,0.0,0,0,0,0,0
static_team-h8-r1,static_team,8,1,20268905,1,1,1,1,0,0,17,8522,2942,0,0.04088,90.25,1,1,3.87,3.87,0,0,0,0,0
corpus_mesh-h8-r1,corpus_mesh,8,1,20268905,0,1,1,0,1,0,20,10005,3829,0,0.049931,99.77,1,2,7.62,7.62,0,0,0,0,0
