run_key,architecture,horizon,run_idx,chain_seed,success,errors_introduced,errors_detected,errors_recovered,escaped_errors,parse_failures,model_calls,input_tokens,output_tokens,cache_read_tokens,cost_usd,wall_seconds,challenges,recovery_calls,recovery_seconds,mean_recovery_latency_s,injected_faults,faults_detected,faults_contained,faults_repaired,infra_retries
verified_team-h10-r1,verified_team,10,1,50270905,1,0,0,0,0,0,20,60,4540,899720,0.124399,281.58,0,0,0.0,0.0,0,0,0,0,0
verified_team-h10-r2,verified_team,10,2,50270906,0,1,0,0,1,0,22,293,5352,854609,0.237428,309.23,1,2,11.15,11.15,0,0,0,0,0
verified_team-h10-r4,verified_team,10,4,50270908,0,4,2,2,2,0,24,72,6393,1035020,0.205422,335.21,2,4,48.96,24.48,0,0,0,0,0
verified_team-h10-r5,verified_team,10,5,50270909,0,3,3,3,1,0,29,87,7386,1260075,0.235736,377.94,4,9,39.46,9.87,0,0,0,0,0
verified_team-h10-r3,verified_team,10,3,50270907,0,4,4,2,2,0,30,90,7999,1216026,0.346278,389.38,4,10,57.15,14.29,0,0,0,0,0
verified_team-h10-r0,verified_team,10,0,50270904,0,5,5,2,4,0,37,111,10868,1667043,0.239762,465.14,6,17,128.45,21.41,0,0,0,0,0
verified_team-h10-r6,verified_team,10,6,50270910,1,2,2,2,0,0,24,72,5924,1080131,0.151194,241.84,2,4,17.25,8.62,0,0,0,0,0
verified_team-h10-r7,verified_team,10,7,50270911,0,2,1,0,2,0,22,66,5626,989629,0.140114,225.18,1,2,14.88,14.88,0,0,0,0,0
verified_team-h20-r0,verified_team,20,0,50280904,0,5,3,2,3,0,55,165,13901,2475167,0.348328,563.11,6,15,73.19,12.2,0,0,0,0,0
verified_team-h20-r2,verified_team,20,2,50280906,1,3,3,3,0,0,53,159,13492,2384728,0.336608,556.22,5,13,64.19,12.84,0,0,0,0,0
verified_team-h20-r3,verified_team,20,3,50280907,0,3,2,1,3,0,51,153,12275,2294756,0.320324,578.42,4,11,49.43,12.36,0,0,0,0,0
verified_team-h20-r1,verified_team,20,1,50280905,0,10,10,8,2,0,62,186,17608,2791002,0.401514,708.13,10,22,140.2,14.02,0,0,0,0,0
verified_team-h20-r5,verified_team,20,5,50280909,0,6,4,2,4,0,50,150,13215,2206185,0.370055,564.35,4,10,52.07,13.02,0,0,0,0,0
verified_team-h20-r4,verified_team,20,4,50280908,0,5,5,4,1,0,56,168,14452,2475045,0.408073,608.18,7,16,95.56,13.65,0,0,0,0,0
verified_team-h20-r6,verified_team,20,6,50280910,1,3,3,3,0,0,49,147,11683,2204660,0.307323,536.1,4,9,40.35,10.09,0,0,0,0,0
verified_team-h20-r7,verified_team,20,7,50280911,0,3,2,0,3,0,50,150,12383,2250984,0.314372,506.2,4,10,47.25,11.81,0,0,0,0,0
verified_team-h50-r0,verified_team,50,0,50310904,0,10,8,2,8,0,129,387,32028,5805353,0.814042,1394.84,11,29,144.84,13.17,0,0,0,0,0
