run_key,architecture,horizon,run_idx,chain_seed,success,errors_introduced,errors_detected,errors_recovered,escaped_errors,parse_failures,model_calls,input_tokens,output_tokens,cache_read_tokens,cost_usd,wall_seconds,challenges,recovery_calls,recovery_seconds,mean_recovery_latency_s,injected_faults,faults_detected,faults_contained,faults_repaired,infra_retries
verified_team-h10-r5,verified_team,10,5,50270909,1,0,0,0,0,0,20,3755,22173,0,0.014735,1055.78,0,0,0.0,0.0,0,0,0,0,0
verified_team-h10-r2,verified_team,10,2,50270906,1,0,0,0,0,0,20,3753,20320,0,0.014504,1098.89,0,0,0.0,0.0,0,0,0,0,1
verified_team-h10-r1,verified_team,10,1,50270905,1,2,2,2,0,0,24,4556,25635,0,0.017943,1207.44,2,4,235.17,117.58,0,0,0,0,0
verified_team-h10-r0,verified_team,10,0,50270904,1,2,2,2,0,0,25,4707,34372,0,0.021565,1399.45,2,5,338.4,169.2,0,0,0,0,0
verified_team-h10-r3,verified_team,10,3,50270907,1,5,5,5,0,0,32,6059,38527,0,0.0249,2030.61,5,12,780.53,156.11,0,0,0,0,2
verified_team-h10-r6,verified_team,10,6,50270910,1,0,0,0,0,0,20,3752,20207,0,0.014498,1235.08,0,0,0.0,0.0,0,0,0,0,1
verified_team-h20-r2,verified_team,20,2,50280906,1,2,2,2,0,0,44,8310,49143,0,0.032903,2487.13,2,4,229.6,114.8,0,0,0,0,1
verified_team-h20-r4,verified_team,20,4,50280908,1,4,4,4,0,0,48,9121,56363,0,0.038716,2645.05,4,8,413.14,103.28,0,0,0,0,1
verified_team-h20-r1,verified_team,20,1,50280905,1,5,5,5,0,0,53,9960,79466,0,0.041728,3467.43,5,13,855.43,171.09,0,0,0,0,4
verified_team-h20-r6,verified_team,20,6,50280910,1,2,2,2,0,0,44,8304,42841,0,0.031971,2804.93,2,4,209.7,104.85,0,0,0,0,4
verified_team-h20-r5,verified_team,20,5,50280909,1,8,8,8,0,0,56,10730,75161,0,0.049038,3118.19,8,16,898.81,112.35,0,0,0,0,1
verified_team-h20-r7,verified_team,20,7,50280911,1,3,3,3,0,0,48,9004,57509,0,0.035111,2640.07,3,8,516.5,172.17,0,0,0,0,0
verified_team-h50-r0,verified_team,50,0,50310904,1,5,5,5,0,0,113,21200,130060,0,0.081485,5305.78,5,13,817.03,163.41,0,0,0,0,0
verified_team-h50-r2,verified_team,50,2,50310906,1,6,6,6,0,0,115,21614,123828,0,0.083373,5114.18,6,15,748.9,124.82,0,0,0,0,1
verified_team-h50-r1,verified_team,50,1,50310905,1,16,16,16,0,0,137,25949,183563,0,0.111929,6146.55,16,37,1747.21,109.2,0,0,0,0,3
verified_team-h50-r6,verified_team,50,6,50310910,1,10,10,10,0,0,123,23214,136269,0,0.094465,4099.16,10,23,911.67,91.17,0,0,0,0,0
verified_team-h50-r7,verified_team,50,7,50310911,1,12,12,12,0,0,129,24322,152079,0,0.093847,4220.94,12,29,997.07,83.09,0,0,0,0,0
verified_team-h10-r7,verified_team,10,7,50270911,1,0,0,0,0,0,20,3755,24126,0,0.01591,340.16,0,0,0.0,0.0,0,0,0,0,0
verified_team-h10-r4,verified_team,10,4,50270908,1,1,1,1,0,0,22,4158,26279,0,0.017003,363.12,1,2,31.14,31.14,0,0,0,0,0
verified_team-h20-r0,verified_team,20,0,50280904,1,2,2,2,0,0,45,8454,49612,0,0.031909,711.9,2,5,96.98,48.49,0,0,0,0,0
verified_team-h20-r3,verified_team,20,3,50280907,1,3,3,3,0,0,48,8999,51437,0,0.035167,755.91,3,8,156.85,52.28,0,0,0,0,0
verified_team-h50-r4,verified_team,50,4,50310908,1,10,10,10,0,0,121,22945,138234,0,0.09507,2424.35,10,21,501.96,50.2,0,0,0,0,0
verified_team-h50-r3,verified_team,50,3,50310907,1,15,15,15,0,0,135,25535,190745,0,0.110802,2782.91,15,35,914.93,61.0,0,0,0,0,0
verified_team-h50-r5,verified_team,50,5,50310909,1,9,9,9,0,0,121,22822,139177,0,0.091817,1661.89,9,21,332.34,36.93,0,0,0,0,0
