run_key,architecture,horizon,run_idx,chain_seed,success,errors_introduced,errors_detected,errors_recovered,escaped_errors,parse_failures,model_calls,input_tokens,output_tokens,cache_read_tokens,cost_usd,wall_seconds,challenges,recovery_calls,recovery_seconds,mean_recovery_latency_s,injected_faults,faults_detected,faults_contained,faults_repaired,infra_retries
verified_team-h10-r4,verified_team,10,4,50270908,0,2,1,1,1,0,22,5131,6248,0,0.036371,125.31,1,2,6.91,6.91,0,0,0,0,0
verified_team-h10-r5,verified_team,10,5,50270909,1,1,1,1,0,0,22,5131,6302,0,0.036641,126.19,1,2,6.61,6.61,0,0,0,0,0
verified_team-h10-r2,verified_team,10,2,50270906,1,1,1,1,0,0,25,5853,7000,0,0.040853,133.06,2,5,16.02,8.01,0,0,0,0,0
verified_team-h10-r1,verified_team,10,1,50270905,1,2,2,2,0,0,24,5616,6355,0,0.037391,133.26,2,4,16.63,8.32,0,0,0,0,0
verified_team-h10-r0,verified_team,10,0,50270904,1,1,1,1,0,0,25,5851,7825,0,0.044976,144.15,2,5,17.51,8.75,0,0,0,0,0
verified_team-h10-r3,verified_team,10,3,50270907,1,4,4,4,0,0,29,6837,8623,0,0.049952,164.68,4,9,31.79,7.95,0,0,0,0,0
verified_team-h10-r6,verified_team,10,6,50270910,1,0,0,0,0,0,20,4636,5391,0,0.031591,123.03,0,0,0.0,0.0,0,0,0,0,0
verified_team-h10-r7,verified_team,10,7,50270911,0,3,2,2,1,0,25,5853,7138,0,0.041543,181.61,2,5,21.43,10.71,0,0,0,0,0
verified_team-h20-r1,verified_team,20,1,50280905,0,4,3,2,2,0,48,11219,14553,0,0.083984,331.69,3,8,30.22,10.07,0,0,0,0,0
verified_team-h20-r3,verified_team,20,3,50280907,1,1,1,1,0,0,45,10491,11976,0,0.070371,307.98,2,5,19.45,9.72,0,0,0,0,0
verified_team-h20-r0,verified_team,20,0,50280904,1,4,4,4,0,0,55,12921,16165,0,0.093746,372.99,6,15,57.16,9.53,0,0,0,0,0
verified_team-h20-r2,verified_team,20,2,50280906,0,6,6,4,2,0,56,13156,16079,0,0.093551,368.19,6,16,59.26,9.88,0,0,0,0,0
verified_team-h20-r4,verified_team,20,4,50280908,0,4,3,3,1,0,48,11240,14602,0,0.08425,311.76,4,8,32.21,8.05,0,0,0,0,0
verified_team-h20-r5,verified_team,20,5,50280909,0,4,4,3,1,0,55,12894,16175,0,0.093769,307.46,5,15,49.72,9.94,0,0,0,0,0
verified_team-h20-r6,verified_team,20,6,50280910,1,2,2,2,0,0,45,10485,11934,0,0.070155,214.83,2,5,15.15,7.58,0,0,0,0,0
verified_team-h20-r7,verified_team,20,7,50280911,0,2,2,2,1,0,51,11934,15163,0,0.087749,261.64,4,11,37.16,9.29,0,0,0,0,0
verified_team-h50-r0,verified_team,50,0,50310904,0,12,11,10,2,0,129,30266,35804,0,0.209286,659.24,13,29,94.52,7.27,0,0,0,0,0
verified_team-h50-r2,verified_team,50,2,50310906,0,7,6,5,2,0,121,28283,33660,0,0.196583,631.86,8,21,65.78,8.22,0,0,0,0,0
verified_team-h50-r1,verified_team,50,1,50310905,0,11,11,10,1,0,136,31949,42824,0,0.246069,737.62,15,36,124.32,8.29,0,0,0,0,0
verified_team-h50-r3,verified_team,50,3,50310907,0,12,12,10,2,0,135,31681,39848,0,0.230921,706.29,14,35,119.06,8.5,0,0,0,0,0
verified_team-h50-r4,verified_team,50,4,50310908,0,9,8,6,4,0,135,31667,38155,0,0.222442,700.64,13,35,112.97,8.69,0,0,0,0,0
verified_team-h50-r5,verified_team,50,5,50310909,0,12,11,9,4,0,135,31730,39069,0,0.227075,709.99,15,35,117.49,7.83,0,0,0,0,0
verified_team-h50-r7,verified_team,50,7,50310911,0,12,11,9,3,0,129,30249,37701,0,0.218754,623.72,12,29,95.66,7.97,0,0,0,0,0
verified_team-h50-r6,verified_team,50,6,50310910,0,13,10,7,7,0,139,32708,40362,0,0.234518,677.7,17,39,119.96,7.06,0,0,0,0,0
