architecture,horizon,runs,success_rate,avg_errors_introduced,avg_errors_detected,avg_errors_recovered,avg_escaped_errors,avg_agent_calls
corpus_mesh,10,1000,0.995,0.171,0.171,0.169,0.005,21.37
corpus_mesh,25,1000,0.99,0.364,0.363,0.36,0.01,53.402
corpus_mesh,50,1000,0.974,0.764,0.761,0.744,0.026,107.182
corpus_mesh,100,1000,0.968,1.524,1.52,1.489,0.034,214.095
corpus_mesh,250,1000,0.92,3.648,3.637,3.563,0.085,534.425
reflection,10,1000,0.864,0.163,2.778,2.74,0.136,12.778
reflection,25,1000,0.713,0.383,6.914,6.821,0.287,31.914
reflection,50,1000,0.514,0.754,13.992,13.788,0.486,63.992
reflection,100,1000,0.265,1.524,27.734,27.312,0.735,127.734
reflection,250,1000,0.05,3.742,69.427,68.434,0.95,319.427
single,10,1000,0.856,0.153,0,0,0.144,10
single,25,1000,0.698,0.374,0,0,0.302,25
single,50,1000,0.474,0.741,0,0,0.526,50
single,100,1000,0.231,1.542,0,0,0.769,100
single,250,1000,0.035,3.665,0,0,0.965,250
static_team,10,1000,0.996,0.168,0.168,0.166,0.004,20.223
static_team,25,1000,0.992,0.364,0.363,0.359,0.008,50.47
static_team,50,1000,0.981,0.758,0.755,0.745,0.021,101.023
static_team,100,1000,0.965,1.522,1.518,1.494,0.036,202.035
static_team,250,1000,0.911,3.67,3.656,3.59,0.095,504.874
