architecture,horizon,run,success,errors_introduced,errors_detected,errors_recovered,escaped_errors,agent_calls
single,10,0,1,0,0,0,0,10
reflection,10,0,1,0,3,3,0,13
static_team,10,0,1,0,0,0,0,21
corpus_mesh,10,0,1,0,0,0,0,21
single,10,1,1,0,0,0,0,10
reflection,10,1,0,1,3,3,1,13
static_team,10,1,1,0,0,0,0,20
corpus_mesh,10,1,1,0,0,0,0,22
single,10,2,1,0,0,0,0,10
reflection,10,2,1,0,4,4,0,14
static_team,10,2,1,0,0,0,0,20
corpus_mesh,10,2,1,1,1,1,0,23
single,10,3,0,1,0,0,1,10
reflection,10,3,1,0,3,3,0,13
static_team,10,3,1,0,0,0,0,20
corpus_mesh,10,3,1,0,0,0,0,21
single,10,4,1,0,0,0,0,10
reflection,10,4,1,0,2,2,0,12
static_team,10,4,1,0,0,0,0,20
corpus_mesh,10,4,1,0,0,0,0,22
single,10,5,1,0,0,0,0,10
reflection,10,5,1,0,3,3,0,13
static_team,10,5,1,0,0,0,0,20
corpus_mesh,10,5,1,0,0,0,0,20
single,10,6,1,0,0,0,0,10
reflection,10,6,0,0,5,4,1,15
static_team,10,6,1,0,0,0,0,20
corpus_mesh,10,6,1,1,1,1,0,26
single,10,7,1,0,0,0,0,10
reflection,10,7,0,1,4,4,1,14
static_team,10,7,1,0,0,0,0,20
corpus_mesh,10,7,1,0,0,0,0,23
single,10,8,1,0,0,0,0,10
reflection,10,8,1,0,4,4,0,14
static_team,10,8,1,0,0,0,0,20
corpus_mesh,10,8,1,0,0,0,0,21
single,10,9,1,0,0,0,0,10
reflection,10,9,1,0,5,5,0,15
static_team,10,9,1,0,0,0,0,20
corpus_mesh,10,9,1,0,0,0,0,22
single,10,10,1,0,0,0,0,10
reflection,10,10,1,0,2,2,0,12
static_team,10,10,1,0,0,0,0,20
corpus_mesh,10,10,1,1,1,1,0,22
single,10,11,1,0,0,0,0,10
reflection,10,11,1,0,2,2,0,12
static_team,10,11,1,0,0,0,0,20
corpus_mesh,10,11,1,0,0,0,0,24
single,10,12,1,0,0,0,0,10
reflection,10,12,1,0,1,1,0,11
static_team,10,12,1,0,0,0,0,21
corpus_mesh,10,12,1,0,0,0,0,21
single,10,13,1,0,0,0,0,10
reflection,10,13,1,0,3,3,0,13
static_team,10,13,1,0,0,0,0,20
corpus_mesh,10,13,1,0,0,0,0,20
single,10,14,1,0,0,0,0,10
reflection,10,14,1,0,3,3,0,13
static_team,10,14,1,0,0,0,0,20
corpus_mesh,10,14,1,1,1,1,0,24
single,10,15,1,0,0,0,0,10
reflection,10,15,1,0,7,7,0,17
static_team,10,15,1,0,0,0,0,20
corpus_mesh,10,15,1,0,0,0,0,20
single,10,16,1,0,0,0,0,10
reflection,10,16,1,0,2,2,0,12
static_team,10,16,1,0,0,0,0,20
corpus_mesh,10,16,1,0,0,0,0,20
single,10,17,1,0,0,0,0,10
reflection,10,17,1,0,3,3,0,13
static_team,10,17,1,0,0,0,0,20
corpus_mesh,10,17,1,0,0,0,0,23
single,10,18,1,0,0,0,0,10
reflection,10,18,1,0,3,3,0,13
static_team,10,18,1,0,0,0,0,20
corpus_mesh,10,18,1,1,1,1,0,23
single,10,19,1,0,0,0,0,10
reflection,10,19,1,0,2,2,0,12
static_team,10,19,1,0,0,0,0,21
corpus_mesh,10,19,1,1,1,1,0,22
single,10,20,1,0,0,0,0,10
reflection,10,20,1,0,5,5,0,15
static_team,10,20,1,1,1,1,0,21
corpus_mesh,10,20,1,0,0,0,0,21
single,10,21,1,0,0,0,0,10
reflection,10,21,1,0,3,3,0,13
static_team,10,21,1,0,0,0,0,20
corpus_mesh,10,21,1,0,0,0,0,22
single,10,22,1,0,0,0,0,10
reflection,10,22,1,0,3,3,0,13
static_team,10,22,1,1,1,1,0,21
corpus_mesh,10,22,1,0,0,0,0,20
single,10,23,1,0,0,0,0,10
reflection,10,23,1,0,2,2,0,12
static_team,10,23,1,1,1,1,0,21
corpus_mesh,10,23,1,0,0,0,0,21
single,10,24,1,0,0,0,0,10
reflection,10,24,1,0,2,2,0,12
static_team,10,24,1,0,0,0,0,20
corpus_mesh,10,24,1,0,0,0,0,20
single,10,25,1,0,0,0,0,10
reflection,10,25,1,0,5,5,0,15
static_team,10,25,1,0,0,0,0,20
corpus_mesh,10,25,1,1,1,1,0,23
single,10,26,1,0,0,0,0,10
reflection,10,26,1,0,2,2,0,12
static_team,10,26,1,0,0,0,0,20
corpus_mesh,10,26,1,0,0,0,0,22
single,10,27,0,1,0,0,1,10
reflection,10,27,1,0,1,1,0,11
static_team,10,27,1,0,0,0,0,20
corpus_mesh,10,27,1,0,0,0,0,21
single,10,28,1,0,0,0,0,10
reflection,10,28,1,0,5,5,0,15
static_team,10,28,1,0,0,0,0,21
corpus_mesh,10,28,1,0,0,0,0,21
single,10,29,1,0,0,0,0,10
reflection,10,29,1,0,3,3,0,13
static_team,10,29,1,0,0,0,0,20
corpus_mesh,10,29,1,0,0,0,0,21
single,10,30,1,0,0,0,0,10
reflection,10,30,1,0,5,5,0,15
static_team,10,30,1,1,1,1,0,21
corpus_mesh,10,30,1,1,1,1,0,23
single,10,31,1,0,0,0,0,10
reflection,10,31,1,0,2,2,0,12
static_team,10,31,1,0,0,0,0,20
corpus_mesh,10,31,1,0,0,0,0,22
single,10,32,1,0,0,0,0,10
reflection,10,32,0,0,3,2,1,13
static_team,10,32,1,0,0,0,0,20
corpus_mesh,10,32,1,0,0,0,0,22
single,10,33,1,0,0,0,0,10
reflection,10,33,1,0,2,2,0,12
static_team,10,33,1,0,0,0,0,20
corpus_mesh,10,33,1,0,0,0,0,20
single,10,34,1,0,0,0,0,10
reflection,10,34,1,0,3,3,0,13
static_team,10,34,1,0,0,0,0,20
corpus_mesh,10,34,1,0,0,0,0,20
single,10,35,1,0,0,0,0,10
reflection,10,35,0,0,3,2,1,13
static_team,10,35,1,0,0,0,0,20
corpus_mesh,10,35,1,0,0,0,0,22
single,10,36,1,0,0,0,0,10
reflection,10,36,0,1,2,2,1,12
static_team,10,36,1,1,1,1,0,21
corpus_mesh,10,36,1,0,0,0,0,22
single,10,37,1,0,0,0,0,10
reflection,10,37,1,0,2,2,0,12
static_team,10,37,1,0,0,0,0,20
corpus_mesh,10,37,1,1,1,1,0,24
single,10,38,1,0,0,0,0,10
reflection,10,38,1,0,3,3,0,13
static_team,10,38,1,0,0,0,0,20
corpus_mesh,10,38,1,0,0,0,0,20
single,10,39,0,1,0,0,1,10
reflection,10,39,0,1,1,1,1,11
static_team,10,39,1,0,0,0,0,20
corpus_mesh,10,39,1,0,0,0,0,21
single,10,40,1,0,0,0,0,10
reflection,10,40,1,0,3,3,0,13
static_team,10,40,1,0,0,0,0,20
corpus_mesh,10,40,1,1,1,1,0,22
single,10,41,1,0,0,0,0,10
reflection,10,41,1,0,2,2,0,12
static_team,10,41,1,0,0,0,0,20
corpus_mesh,10,41,1,0,0,0,0,21
single,10,42,0,1,0,0,1,10
reflection,10,42,1,0,1,1,0,11
static_team,10,42,1,0,0,0,0,21
corpus_mesh,10,42,1,0,0,0,0,22
single,10,43,1,0,0,0,0,10
reflection,10,43,1,0,5,5,0,15
static_team,10,43,1,1,1,1,0,21
corpus_mesh,10,43,1,0,0,0,0,20
single,10,44,1,0,0,0,0,10
reflection,10,44,1,0,2,2,0,12
static_team,10,44,1,0,0,0,0,20
corpus_mesh,10,44,1,0,0,0,0,20
single,10,45,1,0,0,0,0,10
reflection,10,45,1,0,1,1,0,11
static_team,10,45,1,0,0,0,0,20
corpus_mesh,10,45,1,0,0,0,0,20
single,10,46,1,0,0,0,0,10
reflection,10,46,1,0,4,4,0,14
static_team,10,46,1,2,2,2,0,22
corpus_mesh,10,46,1,0,0,0,0,21
single,10,47,1,0,0,0,0,10
reflection,10,47,1,1,4,4,0,14
static_team,10,47,1,0,0,0,0,20
corpus_mesh,10,47,1,0,0,0,0,22
single,10,48,1,0,0,0,0,10
reflection,10,48,1,0,4,4,0,14
static_team,10,48,1,0,0,0,0,20
corpus_mesh,10,48,1,0,0,0,0,20
single,10,49,0,1,0,0,1,10
reflection,10,49,1,0,3,3,0,13
static_team,10,49,1,0,0,0,0,20
corpus_mesh,10,49,1,0,0,0,0,22
single,25,0,0,1,0,0,1,25
reflection,25,0,1,0,6,6,0,31
static_team,25,0,1,0,0,0,0,50
corpus_mesh,25,0,1,0,0,0,0,52
single,25,1,1,0,0,0,0,25
reflection,25,1,1,0,4,4,0,29
static_team,25,1,1,0,0,0,0,50
corpus_mesh,25,1,1,0,0,0,0,52
single,25,2,0,1,0,0,1,25
reflection,25,2,1,1,10,10,0,35
static_team,25,2,1,1,1,1,0,51
corpus_mesh,25,2,1,0,0,0,0,51
single,25,3,1,0,0,0,0,25
reflection,25,3,1,0,3,3,0,28
static_team,25,3,1,0,0,0,0,50
corpus_mesh,25,3,1,0,0,0,0,51
single,25,4,0,1,0,0,1,25
reflection,25,4,1,0,5,5,0,30
static_team,25,4,1,1,1,1,0,51
corpus_mesh,25,4,1,1,1,1,0,55
single,25,5,1,0,0,0,0,25
reflection,25,5,1,0,6,6,0,31
static_team,25,5,1,0,0,0,0,50
corpus_mesh,25,5,1,0,0,0,0,50
single,25,6,1,0,0,0,0,25
reflection,25,6,1,0,6,6,0,31
static_team,25,6,1,0,0,0,0,50
corpus_mesh,25,6,1,0,0,0,0,52
single,25,7,1,0,0,0,0,25
reflection,25,7,1,0,6,6,0,31
static_team,25,7,1,1,1,1,0,51
corpus_mesh,25,7,1,1,1,1,0,56
single,25,8,0,2,0,0,1,25
reflection,25,8,1,0,7,7,0,32
static_team,25,8,1,0,0,0,0,50
corpus_mesh,25,8,1,2,2,2,0,56
single,25,9,1,0,0,0,0,25
reflection,25,9,0,0,5,4,1,30
static_team,25,9,1,0,0,0,0,51
corpus_mesh,25,9,1,1,1,1,0,55
single,25,10,1,0,0,0,0,25
reflection,25,10,1,2,6,6,0,31
static_team,25,10,1,0,0,0,0,50
corpus_mesh,25,10,1,0,0,0,0,53
single,25,11,0,1,0,0,1,25
reflection,25,11,1,0,7,7,0,32
static_team,25,11,1,0,0,0,0,50
corpus_mesh,25,11,1,0,0,0,0,51
single,25,12,1,0,0,0,0,25
reflection,25,12,0,3,4,4,1,29
static_team,25,12,1,0,0,0,0,50
corpus_mesh,25,12,1,0,0,0,0,53
single,25,13,1,0,0,0,0,25
reflection,25,13,1,0,4,4,0,29
static_team,25,13,1,0,0,0,0,50
corpus_mesh,25,13,1,0,0,0,0,50
single,25,14,0,1,0,0,1,25
reflection,25,14,1,0,7,7,0,32
static_team,25,14,1,1,1,1,0,51
corpus_mesh,25,14,1,0,0,0,0,50
single,25,15,1,0,0,0,0,25
reflection,25,15,1,0,8,8,0,33
static_team,25,15,1,0,0,0,0,50
corpus_mesh,25,15,1,0,0,0,0,54
single,25,16,1,0,0,0,0,25
reflection,25,16,0,1,10,10,1,35
static_team,25,16,1,0,0,0,0,51
corpus_mesh,25,16,1,1,1,1,0,53
single,25,17,1,0,0,0,0,25
reflection,25,17,0,1,8,7,1,33
static_team,25,17,1,0,0,0,0,50
corpus_mesh,25,17,1,1,1,1,0,54
single,25,18,0,1,0,0,1,25
reflection,25,18,0,1,7,7,1,32
static_team,25,18,1,1,1,1,0,52
corpus_mesh,25,18,1,1,1,1,0,55
single,25,19,1,0,0,0,0,25
reflection,25,19,0,1,8,8,1,33
static_team,25,19,1,1,1,1,0,51
corpus_mesh,25,19,1,0,0,0,0,50
single,25,20,1,0,0,0,0,25
reflection,25,20,1,0,7,7,0,32
static_team,25,20,1,0,0,0,0,50
corpus_mesh,25,20,1,0,0,0,0,53
single,25,21,1,0,0,0,0,25
reflection,25,21,1,0,6,6,0,31
static_team,25,21,1,0,0,0,0,50
corpus_mesh,25,21,1,0,0,0,0,50
single,25,22,1,0,0,0,0,25
reflection,25,22,1,0,6,6,0,31
static_team,25,22,1,0,0,0,0,50
corpus_mesh,25,22,1,0,0,0,0,50
single,25,23,1,0,0,0,0,25
reflection,25,23,1,0,9,9,0,34
static_team,25,23,1,1,1,1,0,51
corpus_mesh,25,23,1,0,0,0,0,52
single,25,24,1,0,0,0,0,25
reflection,25,24,1,0,8,8,0,33
static_team,25,24,1,0,0,0,0,50
corpus_mesh,25,24,1,0,0,0,0,51
single,25,25,1,0,0,0,0,25
reflection,25,25,1,1,3,3,0,28
static_team,25,25,1,0,0,0,0,50
corpus_mesh,25,25,1,0,0,0,0,51
single,25,26,1,0,0,0,0,25
reflection,25,26,1,0,10,10,0,35
static_team,25,26,1,1,1,1,0,51
corpus_mesh,25,26,1,0,0,0,0,52
single,25,27,0,2,0,0,1,25
reflection,25,27,1,0,9,9,0,34
static_team,25,27,1,0,0,0,0,50
corpus_mesh,25,27,1,0,0,0,0,55
single,25,28,1,0,0,0,0,25
reflection,25,28,1,0,7,7,0,32
static_team,25,28,1,0,0,0,0,50
corpus_mesh,25,28,1,1,1,1,0,55
single,25,29,0,1,0,0,1,25
reflection,25,29,1,0,9,9,0,34
static_team,25,29,1,0,0,0,0,50
corpus_mesh,25,29,1,0,0,0,0,56
single,25,30,0,2,0,0,1,25
reflection,25,30,1,0,8,8,0,33
static_team,25,30,1,0,0,0,0,50
corpus_mesh,25,30,1,0,0,0,0,53
single,25,31,1,0,0,0,0,25
reflection,25,31,1,0,3,3,0,28
static_team,25,31,1,0,0,0,0,50
corpus_mesh,25,31,1,0,0,0,0,51
single,25,32,0,1,0,0,1,25
reflection,25,32,1,0,8,8,0,33
static_team,25,32,1,0,0,0,0,50
corpus_mesh,25,32,1,0,0,0,0,56
single,25,33,1,0,0,0,0,25
reflection,25,33,0,0,5,4,1,30
static_team,25,33,1,0,0,0,0,50
corpus_mesh,25,33,1,1,1,1,0,56
single,25,34,1,0,0,0,0,25
reflection,25,34,1,0,9,9,0,34
static_team,25,34,1,0,0,0,0,50
corpus_mesh,25,34,1,0,0,0,0,51
single,25,35,0,1,0,0,1,25
reflection,25,35,0,0,8,7,1,33
